Reservoir,Site,DateTime,Depth_m,Rep,ch4_umolL,co2_umolL,flag_DateTime,flag_ch4,flag_co2
FCR,50,2015-04-21 12:00:00,0.1,2,0.237632362,NA,1,0,1
FCR,50,2015-04-21 12:00:00,1.6,1,0.254142066,15.22438777,1,0,0
FCR,50,2015-04-21 12:00:00,1.6,2,0.251932894,9.393853738,1,0,0
FCR,50,2015-04-21 12:00:00,3.8,1,0.10825436,25.35282938,1,0,0
FCR,50,2015-04-21 12:00:00,3.8,2,0.0917204,28.58509165,1,0,0
FCR,50,2015-04-21 12:00:00,5,1,0.089833521,34.02764777,1,0,0
FCR,50,2015-04-21 12:00:00,5,2,0.089760375,31.48732848,1,0,0
FCR,50,2015-04-21 12:00:00,6.2,1,0.127363998,NA,1,0,1
FCR,50,2015-04-21 12:00:00,6.2,2,0.108006374,32.00233244,1,0,0
FCR,50,2015-04-21 12:00:00,8,1,0.132321369,48.67306654,1,0,0
FCR,50,2015-04-21 12:00:00,8,2,0.149996723,48.04093002,1,0,0
FCR,50,2015-04-21 12:00:00,9,1,0.114057396,53.0046861,1,0,0
FCR,50,2015-04-21 12:00:00,9,2,0.11450917,50.16769831,1,0,0
FCR,100,2015-04-21 12:00:00,0.1,1,0.008454873,14.70757962,1,0,0
FCR,100,2015-04-21 12:00:00,0.1,2,0.009550961,19.32148459,1,0,0
FCR,50,2015-04-28 12:00:00,0.1,1,0.162916661,16.98229371,1,0,0
FCR,50,2015-04-28 12:00:00,0.1,2,0.160752807,19.43196907,1,0,0
FCR,50,2015-04-28 12:00:00,1.6,1,0.173374622,13.36712252,1,0,0
FCR,50,2015-04-28 12:00:00,1.6,2,0.176715776,23.85448942,1,0,0
FCR,50,2015-04-28 12:00:00,3.8,1,0.176832465,13.11805644,1,0,0
FCR,50,2015-04-28 12:00:00,3.8,2,0.174483673,15.96417556,1,0,0
FCR,50,2015-04-28 12:00:00,5,1,0.044909432,46.01534015,1,0,0
FCR,50,2015-04-28 12:00:00,5,2,0.045802613,49.14017712,1,0,0
FCR,50,2015-04-28 12:00:00,6.2,1,0.028721918,57.21681217,1,0,0
FCR,50,2015-04-28 12:00:00,6.2,2,0.029960486,50.78311268,1,0,0
FCR,50,2015-04-28 12:00:00,8,1,0.021151172,93.15559162,1,0,0
FCR,50,2015-04-28 12:00:00,8,2,0.023138023,99.98805382,1,0,0
FCR,50,2015-04-28 12:00:00,9,1,0.048912913,75.20924851,1,0,0
FCR,50,2015-04-28 12:00:00,9,2,0.049136084,69.02209338,1,0,0
FCR,100,2015-04-28 12:00:00,0.1,1,0.00769067,12.25840037,1,0,0
FCR,100,2015-04-28 12:00:00,0.1,2,0.008349372,9.541581788,1,0,0
FCR,50,2015-05-05 12:00:00,0.1,1,0.22601984,12.59391585,1,0,0
FCR,50,2015-05-05 12:00:00,0.1,2,0.238272845,5.055046227,1,0,0
FCR,50,2015-05-05 12:00:00,1.6,1,0.229518981,10.50958823,1,0,0
FCR,50,2015-05-05 12:00:00,1.6,2,0.228352818,11.50402842,1,0,0
FCR,50,2015-05-05 12:00:00,3.8,1,0.247494096,18.23279425,1,0,0
FCR,50,2015-05-05 12:00:00,3.8,2,0.235477601,16.18901918,1,0,0
FCR,50,2015-05-05 12:00:00,5,1,0.139902549,28.59494753,1,0,0
FCR,50,2015-05-05 12:00:00,5,2,0.151496511,25.30710006,1,0,0
FCR,50,2015-05-05 12:00:00,6.2,1,0.028920794,55.86685657,1,0,0
FCR,50,2015-05-05 12:00:00,6.2,2,0.03186702,57.67177644,1,0,0
FCR,50,2015-05-05 12:00:00,8,1,0.052064588,51.10499522,1,0,0
FCR,50,2015-05-05 12:00:00,8,2,NA,NA,1,1,1
FCR,50,2015-05-05 12:00:00,9,1,0.307416682,63.08039518,1,0,0
FCR,50,2015-05-05 12:00:00,9,2,0.334588187,55.99548389,1,0,0
FCR,100,2015-05-05 12:00:00,0.1,1,0.010733669,11.6463859,1,0,0
FCR,100,2015-05-05 12:00:00,0.1,2,0.009512398,11.49386285,1,0,0
FCR,50,2015-05-11 12:00:00,0.1,1,0.383661941,8.709729543,1,0,0
FCR,50,2015-05-11 12:00:00,0.1,2,0.354324007,9.148845268,1,0,0
FCR,50,2015-05-11 12:00:00,1.6,1,0.401719774,7.726840093,1,0,0
FCR,50,2015-05-11 12:00:00,1.6,2,0.417298799,8.300552639,1,0,0
FCR,50,2015-05-11 12:00:00,3.8,1,0.270875873,10.45098105,1,0,4
FCR,50,2015-05-11 12:00:00,3.8,2,NA,NA,1,1,1
FCR,50,2015-05-11 12:00:00,5,1,0.100766975,31.3563743,1,0,4
FCR,50,2015-05-11 12:00:00,5,2,NA,NA,1,1,1
FCR,50,2015-05-11 12:00:00,6.2,1,0.042163766,67.74107276,1,0,4
FCR,50,2015-05-11 12:00:00,6.2,2,0.041319995,135.7525699,1,0,4
FCR,50,2015-05-11 12:00:00,8,1,0.06705773,62.01700256,1,0,4
FCR,50,2015-05-11 12:00:00,8,2,0.078475589,137.9066736,1,0,4
FCR,50,2015-05-11 12:00:00,9,1,0.049856309,77.59247609,1,0,0
FCR,50,2015-05-11 12:00:00,9,2,0.0505955,79.60843426,1,0,0
FCR,100,2015-05-11 12:00:00,0.1,1,0.012864483,11.02084416,1,0,0
FCR,100,2015-05-11 12:00:00,0.1,2,0.014321397,11.35547063,1,0,0
FCR,50,2015-05-18 12:00:00,0.1,1,0.370087007,8.917637907,1,0,0
FCR,50,2015-05-18 12:00:00,0.1,2,0.378443738,9.424471958,1,0,0
FCR,50,2015-05-18 12:00:00,1.6,1,0.5376097,7.829327326,1,0,0
FCR,50,2015-05-18 12:00:00,1.6,2,0.557699399,7.577334668,1,0,0
FCR,50,2015-05-18 12:00:00,3.8,1,0.608418483,15.7128051,1,0,0
FCR,50,2015-05-18 12:00:00,3.8,2,0.586880225,15.61294976,1,0,0
FCR,50,2015-05-18 12:00:00,5,1,0.191766032,48.55022526,1,0,0
FCR,50,2015-05-18 12:00:00,5,2,0.174677381,51.2062021,1,0,0
FCR,50,2015-05-18 12:00:00,6.2,1,0.186243729,53.16097102,1,0,0
FCR,50,2015-05-18 12:00:00,6.2,2,0.184131822,56.47744353,1,0,0
FCR,50,2015-05-18 12:00:00,8,1,0.041173613,83.10507498,1,0,0
FCR,50,2015-05-18 12:00:00,8,2,0.047014706,92.73909143,1,0,0
FCR,50,2015-05-18 12:00:00,9,1,0.036778267,92.61453642,1,0,0
FCR,50,2015-05-18 12:00:00,9,2,0.04025631,93.7118657,1,0,0
FCR,100,2015-05-18 12:00:00,0.1,1,0.015648474,8.052448348,1,0,0
FCR,100,2015-05-18 12:00:00,0.1,2,0.015559363,12.99977891,1,0,0
FCR,50,2015-05-25 12:00:00,0.1,1,0.380037996,8.502661814,1,0,0
FCR,50,2015-05-25 12:00:00,0.1,2,0.371580418,8.274910202,1,0,0
FCR,50,2015-05-25 12:00:00,1.6,1,0.482055389,8.978601449,1,0,0
FCR,50,2015-05-25 12:00:00,1.6,2,0.463463848,8.522475573,1,0,0
FCR,50,2015-05-25 12:00:00,3.8,1,0.772444059,15.39594734,1,0,0
FCR,50,2015-05-25 12:00:00,3.8,2,0.771809861,11.8521823,1,0,0
FCR,50,2015-05-25 12:00:00,5,1,0.371395807,48.13533722,1,0,0
FCR,50,2015-05-25 12:00:00,5,2,0.390281653,48.4403862,1,0,0
FCR,50,2015-05-25 12:00:00,6.2,1,0.251956538,60.88743769,1,0,0
FCR,50,2015-05-25 12:00:00,6.2,2,0.277393713,63.29462644,1,0,0
FCR,50,2015-05-25 12:00:00,8,1,0.040797825,108.921007,1,0,0
FCR,50,2015-05-25 12:00:00,8,2,0.039196097,101.6604257,1,0,0
FCR,50,2015-05-25 12:00:00,9,1,0.060465918,89.21554625,1,0,0
FCR,50,2015-05-25 12:00:00,9,2,0.07123159,93.25691055,1,0,0
FCR,100,2015-05-25 12:00:00,0.1,1,0.02053071,16.9549638,1,0,0
FCR,100,2015-05-25 12:00:00,0.1,2,0.017392186,13.62340188,1,0,0
FCR,50,2015-06-01 12:00:00,0.1,1,0.516678474,9.40532302,1,0,0
FCR,50,2015-06-01 12:00:00,0.1,1,0.486077911,8.264037778,1,0,0
FCR,50,2015-06-01 12:00:00,0.1,2,0.50498123,6.995644995,1,0,0
FCR,50,2015-06-01 12:00:00,0.1,2,0.447158209,7.808955281,1,0,0
FCR,50,2015-06-01 12:00:00,1.6,1,0.47363193,5.358141679,1,0,0
FCR,50,2015-06-01 12:00:00,1.6,1,0.54769244,7.932126015,1,0,0
FCR,50,2015-06-01 12:00:00,1.6,2,0.472577546,8.074320654,1,0,0
FCR,50,2015-06-01 12:00:00,1.6,2,NA,NA,1,1,1
FCR,50,2015-06-01 12:00:00,3.8,1,0.6494173,NA,1,0,1
FCR,50,2015-06-01 12:00:00,3.8,1,0.653936548,9.681900726,1,0,4
FCR,50,2015-06-01 12:00:00,3.8,2,0.512179304,24.32429317,1,0,4
FCR,50,2015-06-01 12:00:00,3.8,2,0.511200151,24.13298138,1,0,0
FCR,50,2015-06-01 12:00:00,5,1,0.309513518,40.36305124,1,0,0
FCR,50,2015-06-01 12:00:00,5,1,0.274934755,37.34998534,1,0,0
FCR,50,2015-06-01 12:00:00,5,2,0.37804587,27.28057515,1,3,0
FCR,50,2015-06-01 12:00:00,5,2,0.375330441,23.69043566,1,0,0
FCR,50,2015-06-01 12:00:00,6.2,1,0.197509315,79.01799653,1,3,3
FCR,50,2015-06-01 12:00:00,6.2,1,0.128437777,56.51818878,1,3,3
FCR,50,2015-06-01 12:00:00,6.2,2,0.117651012,81.42974935,1,0,3
FCR,50,2015-06-01 12:00:00,6.2,2,0.137033703,73.28014981,1,0,0
FCR,50,2015-06-01 12:00:00,8,1,0.083208787,74.10970336,1,3,0
FCR,50,2015-06-01 12:00:00,8,1,0.115442039,94.92514914,1,3,0
FCR,50,2015-06-01 12:00:00,8,2,0.063852344,98.97019896,1,4,0
FCR,50,2015-06-01 12:00:00,8,2,0.061668723,121.4590793,1,0,0
FCR,50,2015-06-01 12:00:00,9,1,0.13139621,85.34545876,1,0,0
FCR,50,2015-06-01 12:00:00,9,1,0.123387848,101.7755393,1,0,0
FCR,50,2015-06-01 12:00:00,9,2,0.075710131,109.2807228,1,3,0
FCR,50,2015-06-01 12:00:00,9,2,0.073194004,104.9010691,1,0,0
FCR,100,2015-06-01 12:00:00,0.1,1,0.01723635,11.33803376,1,0,0
FCR,100,2015-06-01 12:00:00,0.1,2,0.017339655,12.5123319,1,0,0
FCR,50,2015-06-08 12:00:00,0.1,1,0.399757457,12.13485534,1,0,0
FCR,50,2015-06-08 12:00:00,0.1,2,0.414714016,12.15414927,1,0,0
FCR,50,2015-06-08 12:00:00,1.6,1,0.500936559,12.23133922,1,0,0
FCR,50,2015-06-08 12:00:00,1.6,2,0.516196415,12.58863873,1,0,0
FCR,50,2015-06-08 12:00:00,3.8,1,0.097251863,26.40479704,1,0,0
FCR,50,2015-06-08 12:00:00,3.8,2,0.099153995,25.43117154,1,0,0
FCR,50,2015-06-08 12:00:00,5,1,0.042838926,56.44471007,1,0,0
FCR,50,2015-06-08 12:00:00,5,2,0.045606384,51.15036371,1,0,0
FCR,50,2015-06-08 12:00:00,6.2,1,0.083586319,54.94121304,1,0,3
FCR,50,2015-06-08 12:00:00,6.2,2,0.087819948,82.4929616,1,0,3
FCR,50,2015-06-08 12:00:00,8,1,0.189230132,131.022565,1,0,0
FCR,50,2015-06-08 12:00:00,8,2,0.242905015,147.7661741,1,0,0
FCR,50,2015-06-08 12:00:00,9,1,0.24460714,119.1723999,1,0,0
FCR,50,2015-06-08 12:00:00,9,2,0.260824273,88.28788723,1,0,0
FCR,100,2015-06-08 12:00:00,0.1,1,0.014658047,11.50857689,1,0,0
FCR,100,2015-06-08 12:00:00,0.1,2,0.020480342,15.3375978,1,0,0
FCR,50,2015-06-15 12:00:00,0.1,1,0.38359795,9.967701779,1,0,0
FCR,50,2015-06-15 12:00:00,0.1,2,0.40437513,12.41530285,1,0,0
FCR,50,2015-06-15 12:00:00,1.6,1,0.428958563,7.562034748,1,0,0
FCR,50,2015-06-15 12:00:00,1.6,2,NA,NA,1,1,1
FCR,50,2015-06-15 12:00:00,3.8,1,0.058567342,14.95951591,1,0,0
FCR,50,2015-06-15 12:00:00,3.8,2,0.06094836,14.86208509,1,0,0
FCR,50,2015-06-15 12:00:00,5,1,0.113928853,47.40692209,1,0,0
FCR,50,2015-06-15 12:00:00,5,2,0.14663987,48.50880033,1,0,0
FCR,50,2015-06-15 12:00:00,6.2,1,0.101868788,90.98818577,1,0,0
FCR,50,2015-06-15 12:00:00,6.2,2,0.100949453,88.25108212,1,0,0
FCR,50,2015-06-15 12:00:00,8,1,0.123008258,128.2915237,1,0,0
FCR,50,2015-06-15 12:00:00,8,2,0.126207111,119.9232596,1,0,0
FCR,50,2015-06-15 12:00:00,9,1,0.133425079,156.0138169,1,0,0
FCR,50,2015-06-15 12:00:00,9,2,0.125201067,128.6947869,1,0,0
FCR,100,2015-06-15 12:00:00,0.1,1,0.013365611,9.499805949,1,0,0
FCR,100,2015-06-15 12:00:00,0.1,2,0.017227937,10.34044078,1,0,0
FCR,50,2015-06-22 12:00:00,0.1,1,0.382597669,10.15592054,1,0,0
FCR,50,2015-06-22 12:00:00,0.1,2,0.391231154,10.13460718,1,0,0
FCR,50,2015-06-22 12:00:00,1.6,1,0.745382982,11.1059748,1,0,0
FCR,50,2015-06-22 12:00:00,1.6,2,0.684253436,11.82326146,1,0,0
FCR,50,2015-06-22 12:00:00,3.8,1,0.173176671,8.646622781,1,0,0
FCR,50,2015-06-22 12:00:00,3.8,2,0.1743523,8.487657958,1,0,0
FCR,50,2015-06-22 12:00:00,5,1,0.055989014,81.93185514,1,0,3
FCR,50,2015-06-22 12:00:00,5,2,0.061638,127.4905138,1,0,3
FCR,50,2015-06-22 12:00:00,6.2,1,0.21917142,64.74716293,1,0,0
FCR,50,2015-06-22 12:00:00,6.2,2,0.180617487,55.76821925,1,0,0
FCR,50,2015-06-22 12:00:00,8,1,0.27217078,109.7120865,1,0,0
FCR,50,2015-06-22 12:00:00,8,2,0.26923804,114.4830709,1,0,0
FCR,50,2015-06-22 12:00:00,9,1,0.247198731,122.5950083,1,0,0
FCR,50,2015-06-22 12:00:00,9,2,0.289738393,141.4364063,1,0,0
FCR,100,2015-06-22 12:00:00,0.1,1,0.025604563,12.39193132,1,4,0
FCR,100,2015-06-22 12:00:00,0.1,2,0.07112976,7.229706185,1,4,0
FCR,50,2015-06-29 12:00:00,0.1,1,0.33456998,9.180124985,1,0,0
FCR,50,2015-06-29 12:00:00,0.1,2,0.328996651,8.948568417,1,0,0
FCR,50,2015-06-29 12:00:00,1.6,1,0.359256434,10.56288722,1,0,0
FCR,50,2015-06-29 12:00:00,1.6,2,0.356984983,10.16108448,1,0,0
FCR,50,2015-06-29 12:00:00,3.8,1,0.168374297,13.10305588,1,0,0
FCR,50,2015-06-29 12:00:00,3.8,2,0.160336848,9.148537861,1,0,0
FCR,50,2015-06-29 12:00:00,5,1,0.078118653,59.40995221,1,0,0
FCR,50,2015-06-29 12:00:00,5,2,0.075097646,55.35940495,1,0,0
FCR,50,2015-06-29 12:00:00,6.2,1,0.051604137,99.34055811,1,0,0
FCR,50,2015-06-29 12:00:00,6.2,2,0.056972792,107.2570245,1,0,0
FCR,50,2015-06-29 12:00:00,8,1,0.096095846,179.7312439,1,0,0
FCR,50,2015-06-29 12:00:00,8,2,0.07998167,165.9799164,1,0,0
FCR,50,2015-06-29 12:00:00,9,1,0.06930729,196.4403254,1,0,0
FCR,50,2015-06-29 12:00:00,9,2,0.065077888,240.3552316,1,0,0
FCR,100,2015-06-29 12:00:00,0.1,1,0.025604743,14.34405285,1,0,0
FCR,100,2015-06-29 12:00:00,0.1,2,0.030585694,11.08184103,1,0,0
FCR,50,2015-07-06 12:00:00,0.1,1,0.449270395,NA,1,0,1
FCR,50,2015-07-06 12:00:00,0.1,2,0.456399558,NA,1,0,1
FCR,50,2015-07-06 12:00:00,1.6,1,0.546893718,5.714987639,1,0,0
FCR,50,2015-07-06 12:00:00,1.6,2,0.527218454,5.872383886,1,0,0
FCR,50,2015-07-06 12:00:00,3.8,1,0.191360287,15.45811606,1,0,0
FCR,50,2015-07-06 12:00:00,3.8,2,0.222522951,19.93024096,1,0,0
FCR,50,2015-07-06 12:00:00,5,1,0.139085583,95.30065356,1,3,0
FCR,50,2015-07-06 12:00:00,5,2,0.209186089,106.281171,1,3,0
FCR,50,2015-07-06 12:00:00,6.2,1,0.160046004,234.2743814,1,0,0
FCR,50,2015-07-06 12:00:00,6.2,2,0.192847662,214.0640999,1,0,0
FCR,50,2015-07-06 12:00:00,8,1,0.010593332,199.2820114,1,0,0
FCR,50,2015-07-06 12:00:00,8,2,0.006250281,209.9421728,1,0,0
FCR,50,2015-07-06 12:00:00,9,1,0.005378278,205.8120801,1,0,3
FCR,50,2015-07-06 12:00:00,9,2,0.006342064,281.8402696,1,0,3
FCR,100,2015-07-06 12:00:00,0.1,1,0.019836009,6.787045756,1,0,0
FCR,100,2015-07-06 12:00:00,0.1,2,NA,NA,1,1,1
BVR,50,2015-07-09 12:00:00,0.1,1,0.362349521,7.73122619,1,0,0
BVR,50,2015-07-09 12:00:00,0.1,2,0.482017571,8.17735119,1,0,0
BVR,50,2015-07-09 12:00:00,6,1,0.107700511,90.10046331,1,0,0
BVR,50,2015-07-09 12:00:00,6,2,0.108830158,93.00077791,1,0,0
BVR,50,2015-07-09 12:00:00,11,1,274.1064728,179.3797895,1,4,3
BVR,50,2015-07-09 12:00:00,11,2,NA,111.193148,1,1,3
FCR,50,2015-07-13 12:00:00,0.1,1,0.464282455,NA,1,0,1
FCR,50,2015-07-13 12:00:00,0.1,2,0.38167183,5.799483046,1,0,0
FCR,50,2015-07-13 12:00:00,1.6,1,0.599967752,NA,1,0,1
FCR,50,2015-07-13 12:00:00,1.6,2,0.586296868,NA,1,0,1
FCR,50,2015-07-13 12:00:00,3.8,1,0.26510297,14.24405158,1,0,0
FCR,50,2015-07-13 12:00:00,3.8,2,0.26056088,11.3309059,1,0,0
FCR,50,2015-07-13 12:00:00,5,1,1.63447981,141.4168848,1,0,0
FCR,50,2015-07-13 12:00:00,5,2,2.117567707,147.5766254,1,0,0
FCR,50,2015-07-13 12:00:00,6.2,1,1.11833853,NA,1,0,1
FCR,50,2015-07-13 12:00:00,6.2,2,0.983192572,187.2428617,1,0,0
FCR,50,2015-07-13 12:00:00,8,1,0.143418854,213.4807068,1,0,0
FCR,50,2015-07-13 12:00:00,8,2,0.168959826,172.1691148,1,0,0
FCR,50,2015-07-13 12:00:00,9,1,0.121652526,201.7176153,1,4,0
FCR,50,2015-07-13 12:00:00,9,2,0.244593772,243.8615695,1,4,0
FCR,100,2015-07-13 12:00:00,0.1,1,0.020361312,13.93656425,1,4,0
FCR,100,2015-07-13 12:00:00,0.1,2,0.012214594,12.28811875,1,4,0
FCR,50,2015-07-20 12:00:00,0.1,1,0.476534165,5.630424753,1,0,0
FCR,50,2015-07-20 12:00:00,0.1,2,NA,NA,1,1,1
FCR,50,2015-07-20 12:00:00,1.6,1,0.621544814,6.90698783,1,0,0
FCR,50,2015-07-20 12:00:00,1.6,2,0.644198651,5.620236562,1,0,0
FCR,50,2015-07-20 12:00:00,3.8,1,0.362599496,25.78327666,1,0,0
FCR,50,2015-07-20 12:00:00,3.8,2,0.345845095,29.265935,1,0,0
FCR,50,2015-07-20 12:00:00,5,1,9.988710937,237.8403243,1,0,0
FCR,50,2015-07-20 12:00:00,5,2,8.626406738,209.0058542,1,0,0
FCR,50,2015-07-20 12:00:00,6.2,1,1.925800507,158.6201809,1,0,0
FCR,50,2015-07-20 12:00:00,6.2,2,1.697197566,209.6197858,1,0,0
FCR,50,2015-07-20 12:00:00,8,1,0.085612405,289.9584101,1,4,0
FCR,50,2015-07-20 12:00:00,8,2,0.035420644,268.9059896,1,4,0
FCR,50,2015-07-20 12:00:00,9,1,0.03646865,329.7699875,1,0,0
FCR,50,2015-07-20 12:00:00,9,2,0.030058253,270.1510184,1,0,0
FCR,100,2015-07-20 12:00:00,0.1,1,0.019650666,9.447207089,1,0,0
FCR,100,2015-07-20 12:00:00,0.1,2,0.021151322,11.53172541,1,0,0
FCR,50,2015-07-23 12:00:00,0.1,1,0.450034303,8.469785827,1,0,0
FCR,50,2015-07-23 12:00:00,0.1,2,0.487976048,5.818630786,1,0,0
FCR,50,2015-07-23 12:00:00,6,1,0.049468954,69.58666619,1,4,0
FCR,50,2015-07-23 12:00:00,6,2,0.162742304,63.18382733,1,4,0
FCR,50,2015-07-23 12:00:00,11,1,121.6970493,130.7479805,1,3,4
FCR,50,2015-07-23 12:00:00,11,2,192.3263508,285.770494,1,3,4
FCR,50,2015-07-27 12:00:00,0.1,1,0.678028761,5.961275204,1,0,0
FCR,50,2015-07-27 12:00:00,0.1,2,0.700993002,4.325427086,1,0,0
FCR,50,2015-07-27 12:00:00,1.6,1,0.801132568,6.706288347,1,0,0
FCR,50,2015-07-27 12:00:00,1.6,2,0.709074563,6.195783668,1,0,0
FCR,50,2015-07-27 12:00:00,3.8,1,0.383396169,26.75403524,1,0,0
FCR,50,2015-07-27 12:00:00,3.8,2,0.40190315,31.74282708,1,0,0
FCR,50,2015-07-27 12:00:00,5,1,11.39874463,125.7250201,1,0,0
FCR,50,2015-07-27 12:00:00,5,2,10.93020521,124.004953,1,0,0
FCR,50,2015-07-27 12:00:00,6.2,1,4.310021138,312.7927191,1,0,0
FCR,50,2015-07-27 12:00:00,6.2,2,4.225832154,250.2641348,1,0,0
FCR,50,2015-07-27 12:00:00,8,1,0.44580325,318.2714397,1,0,0
FCR,50,2015-07-27 12:00:00,8,2,0.473952456,302.4288104,1,0,0
FCR,50,2015-07-27 12:00:00,9,1,0.052474997,370.9436208,1,0,0
FCR,50,2015-07-27 12:00:00,9,2,0.062985436,327.6965645,1,0,0
FCR,50,2015-08-03 12:00:00,0.1,1,0.392049439,6.243719945,1,0,0
FCR,50,2015-08-03 12:00:00,0.1,2,0.37064872,8.504769162,1,0,0
FCR,50,2015-08-03 12:00:00,1.6,1,0.406274065,8.4422901,1,0,0
FCR,50,2015-08-03 12:00:00,1.6,2,0.394897086,8.786098899,1,0,0
FCR,50,2015-08-03 12:00:00,3.8,1,0.155391871,16.73602792,1,0,0
FCR,50,2015-08-03 12:00:00,3.8,2,0.146508085,14.97278484,1,0,0
FCR,50,2015-08-03 12:00:00,5,1,4.292571247,95.37196049,1,3,0
FCR,50,2015-08-03 12:00:00,5,2,6.875337429,104.2203436,1,3,0
FCR,50,2015-08-03 12:00:00,6.2,1,2.546583815,153.9118178,1,0,0
FCR,50,2015-08-03 12:00:00,6.2,2,NA,170.8450097,1,1,0
FCR,50,2015-08-03 12:00:00,8,1,0.004413005,224.5002944,1,0,0
FCR,50,2015-08-03 12:00:00,8,2,0.003595437,258.0539288,1,0,0
FCR,50,2015-08-03 12:00:00,9,1,0.003474308,377.7783733,1,0,0
FCR,50,2015-08-03 12:00:00,9,2,0.004655229,386.7020278,1,0,0
FCR,100,2015-08-03 12:00:00,0.1,1,0.016135694,6.864176166,1,0,0
FCR,100,2015-08-03 12:00:00,0.1,2,0.016891294,8.98424232,1,0,0
FCR,50,2015-08-10 12:00:00,0.1,1,0.574316271,6.037213594,1,0,0
FCR,50,2015-08-10 12:00:00,0.1,2,0.541099701,5.058441452,1,0,0
FCR,50,2015-08-10 12:00:00,1.6,1,0.610079779,6.750320623,1,0,0
FCR,50,2015-08-10 12:00:00,1.6,2,0.506290756,5.192170563,1,0,0
FCR,50,2015-08-10 12:00:00,3.8,1,0.164263411,40.14059381,1,0,4
FCR,50,2015-08-10 12:00:00,3.8,2,0.16574081,70.54825582,1,0,4
FCR,50,2015-08-10 12:00:00,5,1,16.67024391,123.5808867,1,0,0
FCR,50,2015-08-10 12:00:00,5,2,18.31923094,137.916989,1,0,0
